nome_errado;nome_correto
JAVOR;FK JAVOR IVANJICA
PARTIZAN;PARTIZAN BELGRADE
SKALICA;MFK SKALICA
BANSKA BYSTRICA;DUKLA BANSKA BYSTRICA
AL RIYADH;AL RIYADH SC
POLOKWANE;POLOKWANE CITY
CAPE TOWN CITY;CAPE TOWN CITY F.C.
SA BULO BULO;SAN ANTONIO BULO BULO
LAUSANNE OUCHY;STADE LAUSANNE-OUCHY
LATINA;US LATINA CALCIO
ANDERLECHT U23;ANDERLECHT B
AVELLINO;CALCIO AVELLINO SSD
INTER MIAMI;INTER MIAMI CF
DC UNITED;DC UTD
TROYES;ESTAC TROYES
BASEL;FC BASEL
JAGIELLONIA;JAGIELLONIA BIALYSTOCK
RAKOW;RAKOW CZESTOCHOWA
COLORADO RAPIDS;COLORADO
PHILADELPHIA UNION;PHILADELPHIA
COPIAPO;DEPORTES COPIAPO
BAYER LEVERKUSEN;LEVERKUSEN
NIJMEGEN;NEC NIJMEGEN
WAALWIJK;RKC WAALWIJK
CHICO;BOYACA CHICO
DEP. PASTO;DEPORTIVO PASTO
ASAN;CHUNGNAM ASAN
SEOUL E-LAND;SEOUL E-LAND FC
VITORIA GUIMARAES;GUIMARAES
BADEN;FC BADEN
HAPOEL HADERA;HAPOEL ERAN HADERA
MACCABI PETAH TIKVA;MACCABI PETACH TIKVA
AVS;AVS FUTEBOL SAD
FC PORTO B;PORTO B
SEONGNAM;SEONGNAM FC
PRO PATRIA;AURORA PRO PATRIA 1919
FC BOTOSANI;BOTOSANI
NARVA;TRANS NARVA
JEONBUK;JEONBUK MOTORS
INCHEON;INCHEON UTD
ESTORIL;ESTORIL PRAIA
H. BEER SHEVA;HAPOEL BEER SHEVA
SHEFFIELD UTD;SHEFF UTD
LAFNITZ;SV LAFNITZ
DEFENSOR SP.;DEFENSOR SPORTING
DORNBIRN;FC DORNBIRN
MAGDEBURG;FC MAGDEBURG
SCHALKE;SCHALKE 04
TRNAVA;SPARTAK TRNAVA
ST. PAULI;ST PAULI
WEHEN;WEHEN WIESBADEN
SARMIENTO JUNIN;SARMIENTO DE JUNIN
ODD;ODDS BK
TAMMEKA;TAMMEKA TARTU
JEONNAM;JEONNAM DRAGONS
PEREIRA;DEPORTIVO PEREIRA
IND. MEDELLIN;IND MEDELLIN
HELSINGOR;FC HELSINGOR
LASK;LASK LINZ
MIRAMAR;MIRAMAR MISIONES
LIEFERING;FC LIEFERING
STRIPFING;SV STRIPFING/WEIDEN
SERAING;SERAING UTD
PATRO EISDEN;PATRO EISDEN MAASMECHELEN
RFC LIEGE;FC LIEGE
TRELLEBORG;TRELLEBORGS
COBRELOA;COBRELOA CALAMA
WANDERERS;WANDERERS (URU)
OSTRAVA;BANIK OSTRAVA
KOLOS KOVALIVKA;KOLOS KOVALYOVKA
FK ZORYA LUHANSK;ZORYA
RANDERS FC;RANDERS
U. ESPANOLA;UNION ESPANOLA
CAJAMARCA;UTC CAJAMARCA
AEK ATHENS FC;AEK ATHENS
TWENTE;FC TWENTE
ZWOLLE;PEC ZWOLLE
PUSZCZA;PUSZCZA NIEPOLOMICE
PLATENSE;CA PLATENSE
CREMONESE;US CREMONESE
NEWPORT;NEWPORT COUNTY
HILLEROD;HILLEROD FODBOLD
KOGE;HB KOGE
GOTEBORG;IFK GOTEBORG
GALWAY;GALWAY UTD
AL AHLI SC;AL AHLI
GRASSHOPPERS;GRASSHOPPERS ZURICH
YVERDON;YVERDON SPORT
DIN. BUCURESTI;DINAMO BUCHAREST
WEXFORD;WEXFORD F.C
ST. GALLEN;ST GALLEN
BRAGE;IK BRAGE
SANDNES;SANDNES ULF
AALESUND;AALESUNDS
ISTANBULSPOR AS;ISTANBULSPOR
SITTARD;FORTUNA SITTARD
VITESSE;VITESSE ARNHEM
GAZIANTEP;GAZIANTEP FK
OSTER;OSTERS
DAEJEON;DAEJEON CITIZEN
EL GOUNA;EL GOUNAH
EL ISMAILY;ISMAILY
SEOUL;FC SEOUL
CHIPPA UTD.;CHIPPA UTD
SWALLOWS;MOROKA SWALLOWS
HOKKAIDO CONSADOLE SAPPORO;SAPPORO
JUVENTUS U23;JUVENTUS B
AVISPA FUKUOKA;FUKUOKA
YOKOHAMA F. MARINOS;YOKOHAMA FM
SAGAN TOSU;TOSU
ADANASPOR AS;ADANASPOR
KASHIWA REYSOL;KASHIWA
NATIONAL BANK EGYPT;NATIONAL BANK
GRANADA CF;GRANADA
AL MASRY;AL-MASRY
OSS;FC OSS
ST. PATRICKS;ST PATRICKS
AL ITTIHAD;AL-ITTIHAD
HAVERFORDWEST;HAVERFORDWEST COUNTY
BALA;BALA TOWN
NANTONG ZHIYUN;NANTONG ZHIYUN F.C
ALUMINIJ;NK ALUMINIJ
DORDRECHT;FC DORDRECHT
BARI;SSD BARI
FIRST VIENNA;FIRST VIENNA FC 1894
HORN;SV HORN
HORSENS;AC HORSENS
SC FARENSE;FARENSE
ALTACH;SCR ALTACH
CRACOVIA;CRACOVIA KRAKOW
BEVEREN;WAASLAND-BEVEREN
DUNDEE FC;DUNDEE
COLUMBUS CREW;COLUMBUS
RADOMLJE;NK RADOMLJE
PAU FC;PAU
BARCELONA SC;BARCELONA (ECU)
PANETOLIKOS;PANAITOLIKOS
CLUB TIJUANA;TIJUANA
MARIEHAMN;IFK MARIEHAMN
LOMMEL SK;LOMMEL
MANNHEIM;WALDHOF MANNHEIM
RICHARDS BAY;RICHARDS BAY FC
STELLENBOSCH;STELLENBOSCH FC
ORLANDO PIRATES;ORLANDO PIRATES (SA)
INVERNESS;INVERNESS CT
QUEEN'S PARK;QUEENS PARK
ANYANG;FC ANYANG
SANDVIKEN;SANDVIKENS
VARBERG;VARBERGS BOIS
OSTERSUND;OSTERSUNDS FK
AMSTETTEN;SKU AMSTETTEN
SAKHNIN;BNEI SAKHNIN
ST. MIRREN;ST MIRREN
RANHEIM;RANHEIM IL
TIANJIN JINMEN TIGER;TIANJIN JINMEN TIGER FC
FC RAPID BUCURESTI;RAPID BUCHAREST
PETROLUL;ACS PETROLUL 52
BONNYRIGG ROSE;BONNYRIGG
FLORA;TALLINNA FC FLORA
PAIDE;PAIDE LINNAMEESKOND
KALJU;NOMME KALJU
FORFAR ATHLETIC;FORFAR
ESTUDIANTES L.P.;ESTUDIANTES
NEWELLS OLD BOYS;NEWELLS
KOSICE;FC KOSICE
BODO/GLIMT;BODO GLIMT
KARVINA;MFK KARVINA
LIBEREC;SLOVAN LIBEREC
LOS CHANKAS;CD LOS CHANKAS
HEIDENHEIM;FC HEIDENHEIM
DUSSELDORF;FORTUNA DUSSELDORF
DUN. STREDA;DUNAJSKA STREDA
CLUB BRUGGE KV;CLUB BRUGGE
VENDSYSSEL;VENDSYSSEL FF
TOMAYAPO;REAL TOMAYAPO
FENIX;CENTRO ATLETICO FENIX
MALDONADO;DEPORTIVO MALDONADO
HAMKAM;HAM-KAM
SARPSBORG 08;SARPSBORG
BRAVO;NK BRAVO
ATL. TUCUMAN;ATL TUCUMAN
D. ZAGREB;DINAMO ZAGREB
FC PORTO;PORTO
GRONINGEN;FC GRONINGEN
HALMSTAD;HALMSTADS
CORUM;CORUM BELEDIYESPOR
SG DYNAMO DRESDEN;DYNAMO DRESDEN
DAEGU;DAEGU FC
ATALANTA U23;ATALANTA B
HALLESCHER;HALLESCHER FC
HVIDOVRE IF;HVIDOVRE
SHAKHTAR DONETSK;SHAKHTAR
UTSIKTEN;UTSIKTENS
SPORTING KANSAS CITY;KANSAS CITY
GIMNASTICA SEGOVIANA;GIMNASTICA SEGOVIANA CF
ADMIRA;ADMIRA WACKER
ACADEMICO VISEU;ACADEMICO DE VISEU
DEP. RIESTRA;DEPORTIVO RIESTRA
AL AHLY;AL AHLY CAIRO
KRYVBAS;KRYVBAS KRIVYI RIH
ZAGLEBIE;ZAGLEBIE LUBIN
JONG UTRECHT;JONG FC UTRECHT
OTELUL;OTELUL GALATI
JONG AZ;JONG AZ ALKMAAR
DJURGARDEN;DJURGARDENS
JONG AJAX;JONG AJAX AMSTERDAM
KALMAR;KALMAR FF
HELSINGBORG;HELSINGBORGS
CANGZHOU;CANGZHOU MIGHTY LIONS
ZED;ZED FC
HJK;HJK HELSINKI
SANTA CRUZ;BLOOMING SANTA CRUZ
OLEKSANDRIYA;OLEKSANDRIA
OBOLON;OBOLON-BROVAR KIEV
JUNIOR;JUNIOR FC BARRANQUILLA
PORTUGUESA;PORTUGUESA FC
ALIANZA ATL.;ALIANZA ATLETICO
OLIMPIA ASUNCION;OLIMPIA
DARMSTADT;SV DARMSTADT
KARAGUMRUK;FATIH KARAGUMRUK ISTANBUL
O'HIGGINS;OHIGGINS
ST. LOUIS CITY;ST LOUIS CITY SC
VITORIA;EC VITORIA SALVADOR
CRUZEIRO;CRUZEIRO MG
VASCO;VASCO DA GAMA
R. OVIEDO;OVIEDO
SP. LUQUENO;SPORTIVO LUQUENO
CESAR VALLEJO;UNIVERSIDAD CESAR VALLEJO
ROSS COUNTY;ROSS CO
SC ASHDOD;FC ASHDOD
VORSKLA POLTAVA;VORSKLA
IND. RIVADAVIA;INDEPENDIENTE RIVADAVIA
ARGENTINOS JRS;ARGENTINOS JUNIORS
MINAJ;FC MINAJ
BRAGANTINO;BRAGANTINO SP
PALMEIRAS;SE PALMEIRAS
ATLETICO-MG;ATLETICO MG
FC HERMANNSTADT;HERMANNSTADT
ORENSE;ORENSE SPORTING CLUB
BALADIYAT EL MAHALLA;BALADEYET AL-MAHALLA
NETANYA;MACCABI NETANYA
AMELIANO;CLUB SPORTIVO AMELIANO
CHAPECOENSE-SC;CHAPECOENSE
AMAZONAS;AMAZONAS FC
CEARA;CEARA SC FORTALEZA
VERES-RIVNE;VERES RIVNE
BOTAFOGO RJ;BOTAFOGO
PENYBONT;PENYBONT FC
EL GAISH;EL GEISH
AL HILAL;AL-HILAL
PAYSANDU PA;PAYSANDU
CUSCO;CUSCO FC
LDU QUITO;LDU
FLAMENGO RJ;FLAMENGO
VILA NOVA FC;VILA NOVA
HAPOEL PETAH TIKVA;HAPOEL PETACH TIKVA
BRUSQUE;BRUSQUE FC
GENERAL CABALLERO JLM;CLUB GENERAL CABALLERO JLM
OPERARIO;OPERARIO PR
A. ITALIANO;AUDAX ITALIANO
TALLERES CORDOBA;TALLERES
WILSTERMANN;JORGE WILSTERMANN
UNION DE SANTA FE;UNION SANTA FE
FK INDJIJA;INDIJA
MOTOR LUBLIN;LKP MOTOR LUBLIN
AMERICA DE CALI;AMERICA DE CALI S.A
JEDINSTVO U.;FK JEDINSTVO UB
MINNESOTA UNITED;MINNESOTA UTD
PIANESE;US PIANESE
LIBERTAD ASUNCION;LIBERTAD
AL FEIHA;AL-FEIHA
UNION CLODIENSE;UNION CLODIENSE CHIOGGIA
CALDIERO TERME;ASD CALCIO CALDIERO TERME
NACIONAL ASUNCION;TACUARY ASUNCION
NOAH;FC NOAH
MARACANA;MARACANA CE
CASCAVEL;CASCAVEL PR
INTER DE LIMEIRA;INTER LIMEIRA
SOUSA;SOUSA EC
APARECIDENSE;APARECIDENSE GO
SER CAXIAS;SER CAXIAS DO SUL
KLUBI 04;KLUBI-04
RETRO;RETRO FC BRASIL
NAUTICO;NAUTICO PE
MACVA;MACVA SABAC
METALOGLOBUS BUCHAREST;FC METALOGLOBUS BUCURESTI
CSIKSZEREDA M. CIUC;CSIKSZEREDA
BANGOR FC;BANGOR
VUKOVAR 1991;VUKOVAR
ILLESCAS;CD ILLESCAS
MONTIJO;UD MONTIJO
NAVALCARNERO;CDA NAVALCARNERO
GERNIKA;SD GERNIKA CLUB
BARBASTRO;UD BARBASTRO
MANRESA;CENTRE D'ESPORTS MANRESA
PENA DEPORTIVA;PORT FC
SAGUNTINO;CLUB ATLETICO SAGUNTINO
SPORTING CP;SPORTING CLUB
IZARRA;CD IZARRA
BREA;CD BREA
COMPOSTELA;SD COMPOSTELA
MARINO DE LUANCO;MARINO LUANCO
COVADONGA;CD COVADONGA
RAYO CANTABRIA;SD RAYO CANTABRIA
ISTRA 1961;NK ISTRA
AGUILAS FC;AGUILAS
YECLANO;YECLANO DEPORTIVO
LA UNION;FC LA UNION ATLETICO
ODENSE;ODENSE Q II (W)
AARHUS;AGF AARHUS (W)
DEP. CALI;DEPORTIVO CALI
U. CATOLICA;UNIV CATOLICA (ECU)
L.R. VICENZA;LR VICENZA VIRTUS
ARENAS CLUB;ARENAS CLUB DE GETXO
REAL SOCIEDAD C;SOCIEDAD B
ANDRATX;CE ANDRATX
CORUXO FC;CORUXO
LANGREO;UP LANGREO
ORIHUELA;ORIHUELA CF
ANTONIANO;CA ANTONIANO
SEVILLA FC B;SEVILLA B
CALAHORRA;CD CALAHORRA
NAXARA;NAXARA CD
ZARAGOZA B;REAL ZARAGOZA II
URSARIA;CDE URSARIA
SAN ROQUE;SAN ROQUE LEPE
FC CARTAGENA SAD B;FC CARTAGENA II
VELEZ;FK VELEZ MOSTAR
SAN FERNANDO;UD SAN FERNANDO
IND. DEL VALLE;INDEPENDIENTE (ECU)
CAYON;CD CAYON
PONTEVEDRA;PONTEVEDRA CF
TORRENT;TORRENT CF
PENYA INDEP.;SE PENYA INDEPENDENT
CERDANYOLA;CERDANYOLA DEL VALLES
SANT ANDREU;UE SANT ANDREU
FORMENTERA;SD FORMENTERA
U. DE CHILE;UNIVERSIDAD DE CHILE
GV SAN JOSE;CD GUALBERTO VILLARROEL
AL TAAWON;AL TAAWON BURAYDAH
SEPSI SF. GHEORGHE;EPS
BEERSCHOT VA;KFCO BEERSCHOT WILRIJK
TSC;SV TILLMITSCH
O. LJUBLJANA;OLIMPIJA
Z. MORAVCE-VRABLE;AB
AL WEHDA;AL WEHDAT
AALBORG;AALBORG FREJA (W)
CIUDAD REAL;MANCHEGO CIUDAD REAL
ARANDINA;ARANDINA CF
RACING CLUB VILLALBES;CLUB RACING
G.A. EAGLES;FC EAGLES
ATH BILBAO B;ATHLETIC BILBAO B
BADALONA FUTUR;CF BADALONA FUTUR
ALZIRA;UD ALZIRA
A. LUSTENAU;SC AUSTRIA LUSTENAU
NOTTINGHAM;NOTTINGHAM FOREST U21
LIVERPOOL M.;LIVERPOOL MONTEVIDEO
UTEBO FC;UTEBO CF
GIMNASIA L.P.;GIMNASIA LA PLATA
ALAVES B;CD ALAVES B
LLERENENSE;AD LLERENENSE
LEVADIA;LEVADIA TALLINN II
MANCHESTER CITY;MAN CITY
AL RAED;AL-RAED (KSA)
OLYMPIACOS PIRAEUS;MP
AL FATEH;AL-FATEH (KSA)
GAMBA OSAKA;FC OSAKA
AL KHALEEJ;AL-KHALEEJ SAIHAT
UNIVERSIDAD CENTRAL;CENTRAL FC
INTER DE BARINAS;FC INTER
WAREGEM;ZULTE-WAREGEM
PSG;PARIS ST-G
DENDER;FCV DENDER
AUE;HEGELMANN LITAUEN B
MUNICH 1860;1860 MUNICH
RACING MONTEVIDEO;MONTEVIDEO
ST. LIEGE;STANDARD
MANCHESTER UTD;MAN UTD
VALLADOLID PROMESAS;VALLADOLID B
OOSTENDE;KV OOSTENDE
GENK U23;RACING GENK B
MUTILVERA;UD MUTILVERA
MENSAJERO;CD MENSAJERO
TIROL;CEFAT TIROL
SK RAPID;SK RAPID PSARY
LEGNAGO SALUS;FC LEGNAGO
GIMPO FC;GIMPO CITIZEN
U. DE DEPORTES;TECNICO UNIVERSITARIO
ATL. PASO;CD ATLETICO PASO
LOS ANGELES GALAXY;LOS ANGELES GALAXY II
FC ARGES;ARGES PITESTI
TERMALICA B-B.;MALI
TNS;The New Saints
B.93;B93 Copenhagen
RWDM;Molenbeek
